,TweetId,Replyto,conversationId,username,rawContent,language,date,location,likeCount,replyCount,retweetCount,followersCount,renderedDescription,friendsCount,statusesCount,favouritesCount,listedCount,mediaCount,url,hashtags,source
0,1344795052606943235,,1344795052606943235,Utd_Reece2,2 minutes till Amad Diallo arrives at Manchester United,en,2020-12-31 23:58:20+00:00,,1,0,0,125,@Utd_Reece,173,3416,2618,0,328,https://twitter.com/Utd_Reece2/status/1344795052606943235,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
1,1344794922537385984,,1344794922537385984,stayutdpod,"I am proud of making progress by deciding to finally start a podcast about one of the things I love the most. Football and Manchester United. This year I promise even more growth, consistency, and content all year round. Thank you for the support, and Happy new year my peoples❤",en,2020-12-31 23:57:49+00:00,Old Trafford,1,2,0,23,"Owner of the blog @cappysworldent |
Podcaster and @ManUtd fan | More to come...",334,423,834,0,138,https://twitter.com/stayutdpod/status/1344794922537385984,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
2,1344794859782221824,,1344794859782221824,NeilDriscoll7,To all Manchester United fans all over world happy new year and hope better one that this year,en,2020-12-31 23:57:34+00:00,"Axminster, England",2,0,0,1633,,1439,580,1,2,3,https://twitter.com/NeilDriscoll7/status/1344794859782221824,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
3,1344794780803485699,1.344783745136685e+18,1344783745136685057,MarcinhoSE7EN,"@KchampK 2041 Jadon Sancho o krok od Manchester United, ma uratować stołek Big Samowi Allardyce.",pl,2020-12-31 23:57:15+00:00,Chojnice,0,0,0,1415,"🔰🇾🇪@ManUtd since ’89, season ticket holder⚽️ ✭@DallasCowboys 🏈 @RangersFC ⚽️@LechPoznan ⚽️ @mets ⚾️ @BrdaRytel player #MAGA pronouns Smith&Wesson",2969,35795,75796,6,4922,https://twitter.com/MarcinhoSE7EN/status/1344794780803485699,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
4,1344794541593948160,1.3447651625328312e+18,1344765162532831233,Tope_Orus,@iamUncleMark Yes ooo! Manchester United is winning tomorrow,en,2020-12-31 23:56:18+00:00,Nigeria,0,1,0,2321,A responsible father of 3. A Farmer and A Teacher. My Abegtag is @tope_orus. If God touches your heart bless me. A Dad to a special needs Son. #GGMU♥️,2893,83058,74967,1,4739,https://twitter.com/Tope_Orus/status/1344794541593948160,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
5,1344794530659397640,,1344794530659397640,ennyorlahalesh,For Manchester United fans we are winning the treble this year🤲,en,2020-12-31 23:56:15+00:00,"Lagos, Nigeria ",13,6,3,12486,100% JESUS✝|| Football is the game⚽ ||Manchester United🔴|| I'm the chosen one Flowers🌷never pick themselves😌,9544,158295,320322,4,1862,https://twitter.com/ennyorlahalesh/status/1344794530659397640,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
6,1344794376606797825,,1344794376606797825,halfeatenmind,Manchester United still interested in Aston Villa star Jack Grealish https://t.co/h00o5WxyNw via @MailSport,en,2020-12-31 23:55:39+00:00,"Seven Kings, Ilford, Essex",0,0,0,4084,"Local. National. International.
Now 10 years old (2012-2022) 🎂🥳
Managed by @VShah1984
#SlavaUkraini 🇺🇦",4900,217318,7500,113,3559,https://twitter.com/halfeatenmind/status/1344794376606797825,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
7,1344794069231411200,1.344776637611733e+18,1344776637611732998,TobilobaUTD17,@FabrizioRomano Amad Diallo to Manchester united,en,2020-12-31 23:54:25+00:00,Somewhere,0,0,0,637,"||Manchester United||Erik Ten Hag's Project?||Манчэстар Юнайтэд скончаны, пакуль не сыдуць шкляры і іх марыянетка||⭐⭐⭐",1029,27036,80652,0,1142,https://twitter.com/TobilobaUTD17/status/1344794069231411200,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
8,1344793873781059585,,1344793873781059585,IBRAHIM67109625,HAPPY NEW YEAR TO ALL MANCHESTER UNITED FANS ALL OVER THE WORLD,en,2020-12-31 23:53:39+00:00,"Lagos, Nigeria",1,0,0,1100,,1089,459,144484,0,11,https://twitter.com/IBRAHIM67109625/status/1344793873781059585,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
9,1344793832068698112,,1344793832068698112,utubproduction,"@cctv_abedi 
07383131513 @ Manchester, United Kingdom https://t.co/oKM6cYlsxb",en,2020-12-31 23:53:29+00:00,England,0,0,0,79,زن زندگی آزادی,245,6353,1057,0,58,https://twitter.com/utubproduction/status/1344793832068698112,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>"
10,1344793660567810048,1.3447874305163837e+18,1344787116291747847,Bxseez,@OakleyT_ @utdreport Ok Oakley the new owner of Manchester United football club.,en,2020-12-31 23:52:48+00:00,,0,1,0,550,"C

👹",1141,11829,4799,0,2423,https://twitter.com/Bxseez/status/1344793660567810048,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>"
11,1344793524726870017,1.3446255327349965e+18,1344625532734996484,mlihouPenfold,"@danwoodvine Everything that Manchester United stands for in one photo there

Happy new year Danny to you and the family",en,2020-12-31 23:52:16+00:00,,1,1,0,815,Football - MUFC first and foremost - and a general sports nut (albeit crap at most of them). All views my own,517,4134,8763,9,23,https://twitter.com/mlihouPenfold/status/1344793524726870017,,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>"
12,1344793392258166785,1.3447523729339392e+18,1344752372933939204,Chukwuneze2,@ECavaniOfficial Please always use your Manchester United Jersey next time. Seems you ll apologize again.,en,2020-12-31 23:51:44+00:00,,1,0,0,796,Igbo Man / Business / Manchester United / Happiness,1036,6848,8649,0,143,https://twitter.com/Chukwuneze2/status/1344793392258166785,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
13,1344793249484070913,1.3447932396777882e+18,1344425729845579777,clarapralon,"Manchester United 1x0 Arsenal (WSL)

defesa completamente exemplar mas 1x0 foi muito, muito, pouco https://t.co/dHzDc6ljE3",pt,2020-12-31 23:51:10+00:00,Rio de Janeiro,0,1,0,604,• leitora amadora de fanfics e romances sáficos • getting bi • mufc - crf • ela/dela,1012,123314,57090,4,8731,https://twitter.com/clarapralon/status/1344793249484070913,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
14,1344793246367580161,,1344793246367580161,Palapatoto1,"Liverpool Menatap Manchester United dengan Kekhawatiran. Perebutan gelar Premier League sedang memasuki masa-masa yang sengit. Manchester United mulai bangkit dan membuat sang juara bertahan yang sedang berada di puncak klasemen, Liverpool, jadi ketar-ketir.

#LigaInggris #MUFC https://t.co/e2yfqfSRTA",in,2020-12-31 23:51:09+00:00,Indonesia,0,0,0,341,Slot Online | Togel Online | Taruhan Bola | Casino Online | Sabung Ayam Dalam 1 User ID PalapaTOTO Terpercaya Diseluruh Indonesia.,50,7205,33,2,6242,https://twitter.com/Palapatoto1/status/1344793246367580161,"['LigaInggris', 'MUFC']","<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
15,1344793243863703553,1.3447921441926144e+18,1344744265327517697,Espana_Goleador,"AGOSTO 🗓
El Sevilla vencía 2-1 al Manchester United 🏴󠁧󠁢󠁥󠁮󠁧󠁿 con goles de Suso 🇪🇸 y Luuk De Jong 🇳🇱 mostrando un juego muy atractivo clasificándose para una nueva final de Europa League. https://t.co/u6MaJIp3vZ",es,2020-12-31 23:51:09+00:00,España,0,1,0,10884,"100% 🇪🇸 FÚTBOL DE ESPAÑA: Cuenta de noticias, partidos, fichajes, datos y mucho más. Asociada a: @FichajeGoleador ⚽🏆 #ProyectoGoleador",154,5976,856,32,2868,https://twitter.com/Espana_Goleador/status/1344793243863703553,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>"
16,1344793221524807680,1.3447932089502925e+18,1344425729845579777,clarapralon,"PSG 1x2 Manchester United (Champions League)

Parque dos Príncipes. Marcus Rashford. Gol no final. https://t.co/HbpgOL0EPE",pt,2020-12-31 23:51:03+00:00,Rio de Janeiro,0,1,0,604,• leitora amadora de fanfics e romances sáficos • getting bi • mufc - crf • ela/dela,1012,123314,57090,4,8731,https://twitter.com/clarapralon/status/1344793221524807680,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>"
